formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C10H9NO2	[M + H]+	C10H10NO2+	Alkaloids	0.995	Anthranilic acid alkaloids	0.817	Quinoline alkaloids	0.622	Organoheterocyclic compounds	0.970	Quinolines and derivatives	0.681	Quinolones and derivatives	0.720	Hydroquinolones	0.674	Hydroquinolones	0.674	Organic compounds; Organoheterocyclic compounds; Quinolones and derivatives; Pyridines and derivatives; Lactams; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Pyridinones; Quinolines and derivatives; Hydroquinolines; Hydroquinolones; Hydropyridines; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	176.070	120	2.004	703047516745703303	703045647738659442	17	
1	C13H28O8	[M + H]+	C13H29O8+	Fatty acids	0.861	Fatty acyls	0.502	Fatty alcohols	0.431	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.992	Dialkyl ethers	0.992	Polyethylene glycols	0.988	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	313.185	120	2.004	703047510340999865	703045647809962615	18	
1	C12H23NO3	[M + H]+	C12H24NO3+	Fatty acids	0.420	Ornithine alkaloids	0.325	Aminoacids	0.185	Organic acids and derivatives	0.996	Carboxylic acids and derivatives	0.993	Amino acids, peptides, and analogues	0.814	Amino acids and derivatives	0.814	Amino acids and derivatives	0.814	Organic compounds; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	230.174	121	2.015	703047506759063525	703045647436669534	13	
1	C14H27N5O4	[M + H]+	C14H28N5O4+	Carbohydrates	0.504	Small peptides	0.331	Tripeptides	0.107	Organic acids and derivatives	0.645	Carboxylic acids and derivatives	0.507	Amino acids, peptides, and analogues	0.555	Amino acids and derivatives	0.553	Amino acids and derivatives	0.553	Organic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	330.213	121	2.016	703047550530827218	703045647591858792	15	
1	C15H14O6	[M + H]+	C15H15O6+	Shikimates and Phenylpropanoids	1.000	Flavonoids	1.000	Flavan-3-ols	0.997	Phenylpropanoids and polyketides	0.995	Flavonoids	0.998	Flavans	0.997	Flavan-3-ols	0.994	Catechins	0.977	Organic compounds; Organoheterocyclic compounds; Benzopyrans; Alkyl aryl ethers; Alcohols and polyols; Phenols; Catechols; Ethers; Phenylpropanoids and polyketides; Organooxygen compounds; Flavonoids; Flavans; Benzenediols; Catechins; Secondary alcohols; Benzene and substituted derivatives; Polyols; Benzenoids; 3-hydroxyflavonoids; 3'-hydroxyflavonoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; Flavan-3-ols; 1-benzopyrans; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	291.087	124	2.064	703047537121635648	703045647881265788	19	
3	C11H20N6O5	[M + H]+	C11H21N6O5+	Carbohydrates	0.519	Nucleosides	0.412	Purine alkaloids	0.504	Organoheterocyclic compounds	0.876	Diazines	0.697	Pyrimidines and pyrimidine derivatives	0.769	Aminopyrimidines and derivatives	0.598	Aminopyrimidines and derivatives	0.598	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Aminopyrimidines and derivatives; Diazines; Secondary alcohols; Amines; Primary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	317.154	125	2.075	703047526212249359	703045647948374657	21	
1	C10H17NO3	[M + H]+	C10H18NO3+	Amino acids and Peptides	0.933	Small peptides	0.995	Dipeptides	0.807	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.976	Amino acids and derivatives	0.975	N-acyl-alpha amino acids	0.957	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	200.127	125	2.086	703047516015894262	703045648019677830	22	
1	C12H26O7	[M + H]+	C12H27O7+	Fatty acids	0.809	Fatty acyls	0.519	Fatty alcohols	0.426	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.991	Dialkyl ethers	0.992	Polyethylene glycols	0.989	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	283.174	127	2.109	703047519186788597	703045648250364565	32	
3	C12H26O7	[M + Na]+	C12H26NaO7+	Fatty acids	0.975	Fatty acyls	0.882	Fatty alcohols	0.907	Organic oxygen compounds	0.999	Organooxygen compounds	0.997	Ethers	0.712	Dialkyl ethers	0.513	Dialkyl ethers	0.513	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	305.158	127	2.110	703047514048765262	703045648179061392	30	
3	C20H18N2O5	[M + H]+	C20H19N2O5+	Alkaloids	0.988	Tryptophan alkaloids	0.698	Pyrroloquinoline alkaloids	0.167	Benzenoids	0.986	Benzene and substituted derivatives	0.421	Phenoxyacetic acid derivatives	0.578			Phenoxyacetic acid derivatives	0.578	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Alkyl aryl ethers; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Phenoxyacetic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	367.128	127	2.110	703047532730198771	703045648376193695	34	
1	C12H26O7	[M + H3N + H]+	C12H30NO7+	Fatty acids	0.816	Fatty acyls	0.523	Fatty alcohols	0.424	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.991	Dialkyl ethers	0.992	Polyethylene glycols	0.989	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	300.202	127	2.115	703047518968684715	703045648434913956	35	
1	C20H34N4O5S	[M + H]+	C20H35N4O5S+	Amino acids and Peptides	0.369	Oligopeptides	0.292	Imidazole alkaloids	0.202	Lipids and lipid-like molecules	0.596	Fatty Acyls	0.538					Fatty Acyls	0.538	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Thioethers; Carbonyl compounds; Sulfenyl compounds; Dialkylthioethers; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	443.232	127	2.122	703047552502150249	703045648099369611	24	
3	C13H16N6O4	[M + H]+	C13H17N6O4+	Alkaloids	0.574	Pseudoalkaloids (transamidation)	0.774	Purine alkaloids	0.926	Organoheterocyclic compounds	0.950	Imidazopyrimidines	0.773	Purines and purine derivatives	0.781	Xanthines	0.844	Xanthines	0.844	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Lactams; Purines and purine derivatives; Xanthines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Pyrimidones; Organooxygen compounds; Organic carbonic acids and derivatives; Azoles; Ureas; Purinones; Diazines; 6-oxopurines; Imidazopyrimidines; Benzene and substituted derivatives; Substituted imidazoles; N-substituted imidazoles; Amines; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	321.130	127	2.124	703047510919813939	703045648560743086	37	
1	C12H23N5O4	[M + Na]+	C12H23N5NaO4+	Amino acids and Peptides	0.931	Small peptides	0.960	Aminoacids	0.257	Organic acids and derivatives	0.869	Carboxylic acids and derivatives	0.730	Amino acids, peptides, and analogues	0.750	Amino acids and derivatives	0.744	Alpha amino acids and derivatives	0.678	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monoalkylamines; Carbonyl compounds; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	324.163	128	2.127	703047528443619421	703045648623657651	38	
1	C7H12O2S	[M + H]+	C7H13O2S+	Fatty acids	0.969	Fatty Acids and Conjugates	0.714	Thia fatty acids	0.897	Organic oxygen compounds	0.962	Organooxygen compounds	0.662	Carbonyl compounds	0.506			Carbonyl compounds	0.506	Organic compounds; Organosulfur compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	161.065	128	2.129	703047545392804107	703045648309084826	33	
1	C27H52N6O6	[M + Na]+	C27H52N6NaO6+	Amino acids and Peptides	0.905	Oligopeptides	0.791	Linear peptides	0.317	Organic acids and derivatives	0.994	Carboxylic acids and derivatives	0.978	Amino acids, peptides, and analogues	0.946	Peptides	0.711	Peptides	0.711	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	579.385	128	2.130	703047514656939469	703045648497828521	36	
1	C16H28N2O3	[M + H]+	C16H29N2O3+	Fatty acids	0.607	Fatty amides	0.319	Dipeptides	0.135	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.998	Amino acids, peptides, and analogues	0.808	Amino acids and derivatives	0.809	Amino acids	0.683	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	297.218	128	2.134	703047508579391890	703045648741098173	42	
3	C9H18O3	[M + K]+	C9H18KO3+	Fatty acids	0.796	Monoterpenoids	0.375	Iridoids monoterpenoids	0.120	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Alcohols and polyols	0.515			Alcohols and polyols	0.515	Organic compounds; Alcohols and polyols; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	213.088	129	2.146	703047545069842641	703045648808207042	43	
1	C17H30N4O6	[M + Na]+	C17H30N4NaO6+	Amino acids and Peptides	0.689	Oligopeptides	0.221	Linear peptides	0.136	Benzenoids	0.636	Benzene and substituted derivatives	0.648					Benzene and substituted derivatives	0.648	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Guanidines; Carboxylic acid amides; Carboxylic acid derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	409.204	130	2.159	703047517798473774	703045648682377912	41	
1	C8H10N4O2	[M + H]+	C8H11N4O2+	Alkaloids	1.000	Pseudoalkaloids (transamidation)	1.000	Purine alkaloids	1.000	Organoheterocyclic compounds	1.000	Imidazopyrimidines	1.000	Purines and purine derivatives	1.000	Xanthines	1.000	Xanthines	1.000	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Lactams; Purines and purine derivatives; Xanthines; Organic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Pyrimidones; Organooxygen compounds; Organic carbonic acids and derivatives; Azoles; Ureas; Purinones; Diazines; 6-oxopurines; Imidazopyrimidines; Substituted imidazoles; N-substituted imidazoles; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	195.088	131	2.181	703047507136550969	703045648871121607	45	
1	C22H28O4	[M + K]+	C22H28KO4+	Polyketides	0.758	Linear polyketides	0.483	Open-chain polyketides	0.317	Benzenoids	0.512							Benzenoids	0.512	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carbonyl compounds; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	395.162	132	2.193	703047553320039610	703045648925647564	47	
1	C21H26N2O7	[M + Na]+	C21H26N2NaO7+	Alkaloids	0.868	Tryptophan alkaloids	0.467	Phenazine alkaloids	0.068	Organic acids and derivatives	0.992	Carboxylic acids and derivatives	0.983	Amino acids, peptides, and analogues	0.579	Amino acids and derivatives	0.581	Amino acids and derivatives	0.581	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Carbonyl compounds; Benzenoids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	441.164	132	2.193	703047528066131965	703045648996950737	48	
4	C24H26O4	[M + H]+	C24H27O4+	Terpenoids	0.561	Sesquiterpenoids	0.252	Naphthoquinones	0.045	Benzenoids	0.756	Benzene and substituted derivatives	0.668					Benzene and substituted derivatives	0.668	Organic compounds; Lipids and lipid-like molecules; Ketones; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	379.194	132	2.193	703047542519705509	703045649126974171	50	
1	C6H13N3O3	[M + Na]+	C6H13N3NaO3+	Amino acids and Peptides	0.619	Small peptides	0.750	Aminoacids	0.576	Organic nitrogen compounds	1.000	Organonitrogen compounds	0.999	Amines	0.587			Amines	0.587	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	198.083	132	2.193	703047548416897654	703045649198277344	51	
1	C15H32O9	[M + H]+	C15H33O9+	Fatty acids	0.873	Fatty acyls	0.526	Fatty alcohols	0.448	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.991	Dialkyl ethers	0.992	Polyethylene glycols	0.989	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	357.212	132	2.193	703047533875243960	703045649273774821	52	
1	C16H31N5O5	[M + H]+	C16H32N5O5+	Carbohydrates	0.236	Ornithine alkaloids	0.318	Polyamines	0.358	Organic acids and derivatives	0.871	Carboxylic acids and derivatives	0.643	Amino acids, peptides, and analogues	0.544	Amino acids and derivatives	0.535	Amino acids and derivatives	0.535	Organic compounds; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	374.239	132	2.204	703047514833100301	703045649059865302	49	
1	C16H29NO5	[M + H]+	C16H30NO5+	Fatty acids	0.714	Linear polyketides	0.091	Open-chain polyketides	0.078	Lipids and lipid-like molecules	0.557	Fatty Acyls	0.529					Fatty Acyls	0.529	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organonitrogen compounds; Organooxygen compounds; Secondary alcohols; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	316.212	134	2.227	703047518763163760	703045649336689386	53	
1	C25H32N4O2S	[M + H]+	C25H33N4O2S+	Alkaloids	0.535	Tryptophan alkaloids	0.145	Cyclamides	0.018	Organic acids and derivatives	0.695	Carboxylic acids and derivatives	0.646	Amino acids, peptides, and analogues	0.518	Amino acids and derivatives	0.519	Amino acids and derivatives	0.519	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Pyrimidines and pyrimidine derivatives; Piperazines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Aminopyrimidines and derivatives; Diazines; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Diazinanes; Benzenoids; Amines; Tertiary amines; Imidolactams; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	453.230	134	2.240	703047519866265999	703045649533821689	57	
