Feature,mz,RT,Corr_ID,Compound_Name,Adduct,formulaRank,molecularFormula,adduct,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#all classifications,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,overallFeatureQuality,featureId
325,154.07509659434632,2.923577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
515,154.54386462104807,3.2832224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1413,158.15396521885933,4.3534493,NA,NA,NA,1,C9H19NO,[M + H]+,C9H20NO+,Alkaloids,0.782,Lysine alkaloids,0.602,Piperidine alkaloids,0.439,Organic nitrogen compounds,1,Organonitrogen compounds,1,Amines,0.839,Secondary amines,0.437,Dialkylamines,0.503,Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Dialkylamines; Amines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,158.154,261,4.345,7.0305722073810406e+17,703045685957161300,NA,1413
1238,160.07208074496037,3.8686051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2429,161.0597647884853,7.217289,NA,4-Methylcoumarin,M+H,1,C10H8O2,[M + H]+,C10H9O2+,Shikimates and Phenylpropanoids,0.82,Phenylpropanoids (C6-C3),0.587,Cinnamic acids and derivatives,0.527,Phenylpropanoids and polyketides,0.353,Cinnamaldehydes,0.51,NA,NA,NA,NA,Cinnamaldehydes,0.51,"Organic compounds; Cinnamaldehydes; Aldehydes; Alkyl aryl ethers; Anisoles; Ethers; Organooxygen compounds; Carbonyl compounds; Phenol ethers; Alpha,beta-unsaturated aldehydes; Enals; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities",161.059,433,7.215,703062800580375800,703045717997453800,NA,2429
33,161.0647255119094,2.1258652,14,NA,NA,1,C7H12O2S,[M + H]+,C7H13O2S+,Fatty acids,0.969,Fatty Acids and Conjugates,0.714,Thia fatty acids,0.897,Organic oxygen compounds,0.962,Organooxygen compounds,0.662,Carbonyl compounds,0.506,NA,NA,Carbonyl compounds,0.506,Organic compounds; Organosulfur compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,161.065,128,2.129,703047545392804100,703045648309084800,NA,33
2053,163.07518819272707,6.075424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1071,163.1147551852294,3.7807333,NA,NA,NA,1,C8H18OS,[M + H]+,C8H19OS+,Fatty acids,0.995,Fatty acyls,0.988,Fatty alcohols,0.88,Organosulfur compounds,0.996,Thioethers,0.507,NA,NA,NA,NA,Thioethers,0.507,Organic compounds; Organosulfur compounds; Thioethers; Sulfenyl compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,163.115,226,3.773,703056353389553e3,703045678541631100,NA,1071
516,163.5493699019184,3.2827418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,165.06721890371335,2.7456713,46,NA,NA,1,C8H8N2O2,[M + H]+,C8H9N2O2+,Alkaloids,0.837,Nicotinic acid alkaloids,0.798,Pyridine alkaloids,0.797,Organoheterocyclic compounds,0.748,Heteroaromatic compounds,0.577,NA,NA,NA,NA,Heteroaromatic compounds,0.577,Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,165.067,166,2.765,703050355895325200,703045655779140900,NA,219
1389,168.55959272860807,4.1114826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
605,169.04915307093998,3.373821,NA,NA,NA,1,C8H8O4,[M + H]+,C8H9O4+,Shikimates and Phenylpropanoids,0.996,Phenolic acids (C6-C1),0.97,Simple phenolic acids,0.983,Benzenoids,1,Benzene and substituted derivatives,0.999,Benzoic acids and derivatives,0.981,Methoxybenzoic acids and derivatives,0.97,P-methoxybenzoic acids and derivatives,0.677,Organic compounds; Alkyl aryl ethers; Phenols; Anisoles; Benzoic acids and derivatives; Methoxyphenols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Salicylic acid and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Hydroxybenzoic acid derivatives; Benzene and substituted derivatives; Phenol ethers; Methoxybenzoic acids and derivatives; P-methoxybenzoic acids and derivatives; Benzenoids; Salicylic acids; Benzoic acids; Vinylogous acids; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Phenoxy compounds; Chemical entities,169.05,203,3.376,703054415969127800,703045668995394200,NA,605
218,176.0599435997582,2.7456686,46,NA,NA,1,C9H7N2O2,[M + H]+,C9H8N2O2+,Alkaloids,0.981,Nicotinic acid alkaloids,0.668,Pyridine alkaloids,0.669,Benzenoids,0.816,NA,NA,NA,NA,NA,NA,Benzenoids,0.816,Organic compounds; Organoheterocyclic compounds; Lactams; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,176.06,164,2.742,703050108297167100,703045655733003500,NA,218
17,176.07002802721917,2.0181007,NA,NA,NA,1,C10H9NO2,[M + H]+,C10H10NO2+,Alkaloids,0.995,Anthranilic acid alkaloids,0.817,Quinoline alkaloids,0.622,Organoheterocyclic compounds,0.97,Quinolines and derivatives,0.681,Quinolones and derivatives,0.72,Hydroquinolones,0.674,Hydroquinolones,0.674,Organic compounds; Organoheterocyclic compounds; Quinolones and derivatives; Pyridines and derivatives; Lactams; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Pyridinones; Quinolines and derivatives; Hydroquinolines; Hydroquinolones; Hydropyridines; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,176.07,120,2.004,703047516745703300,703045647738659500,NA,17
1535,177.05461114538772,4.661814,NA,NA,NA,1,C10H8O3,[M + H]+,C10H9O3+,Shikimates and Phenylpropanoids,0.747,Phenolic acids (C6-C1),0.767,Simple phenolic acids,0.775,Benzenoids,0.999,Benzene and substituted derivatives,0.976,Benzoic acids and derivatives,0.977,Benzoic acid esters,0.901,Benzoic acid esters,0.901,Organic compounds; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Benzoic acid esters; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,177.054,280,4.663,703057890438460400,703045689610400600,NA,1535
1405,177.08859918714947,4.299564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2430,179.07022292457503,7.2154684,NA,NA,NA,1,C10H10O3,[M + H]+,C10H11O3+,Shikimates and Phenylpropanoids,0.983,Phenylpropanoids (C6-C3),0.998,Cinnamic acids and derivatives,0.997,Phenylpropanoids and polyketides,0.936,Cinnamic acids and derivatives,0.829,Hydroxycinnamic acids and derivatives,0.456,Coumaric acids and derivatives,0.56,Coumaric acids and derivatives,0.56,Organic compounds; Styrenes; Coumaric acids and derivatives; Alkyl aryl ethers; Anisoles; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Cinnamic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Cinnamic acids; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organic oxygen compounds; Phenoxy compounds; Chemical entities,179.07,433,7.215,703062826882857500,703045718031008300,NA,2430
71,183.07781493897116,2.3106153,29,NA,NA,2,C5H14N2O3S,[M + H]+,C5H15N2O3S+,Fatty acids,0.422,Small peptides,0.192,Aminoacids,0.259,Organic nitrogen compounds,0.987,Organonitrogen compounds,0.882,NA,NA,NA,NA,Organonitrogen compounds,0.882,Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,183.078,138,2.3,703047673205833700,703045650125218600,NA,71
483,183.1491292504753,3.2410614,NA,NA,NA,1,C10H18N2O,[M + H]+,C10H19N2O+,Alkaloids,0.753,Lysine alkaloids,0.328,Piperidine alkaloids,0.106,Organoheterocyclic compounds,0.948,Oxazinanes,0.757,Morpholines,0.76,NA,NA,Morpholines,0.76,Organic compounds; Organoheterocyclic compounds; Oxazinanes; Piperidines; Ethers; Organonitrogen compounds; Organooxygen compounds; Morpholines; Carboxylic acid amides; Dialkyl ethers; Tertiary carboxylic acid amides; Carbonyl compounds; Amines; Tertiary amines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,183.149,195,3.252,703054091837495400,703045665971300600,NA,483
1380,186.11296285285877,4.034759,NA,NA,NA,1,C9H15NO3,[M + H]+,C9H16NO3+,Amino acids and Peptides,0.797,Small peptides,0.479,Aminoacids,0.186,Organic acids and derivatives,0.998,Carboxylic acids and derivatives,0.994,"Amino acids, peptides, and analogues",0.739,Amino acids and derivatives,0.736,Amino acids and derivatives,0.736,"Organic compounds; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",186.113,242,4.034,703057111119963300,703045684656927e3,NA,1380
1239,186.1308507434638,3.8736668,NA,NA,NA,1,C10H19NS,[M + H]+,C10H20NS+,Terpenoids,0.371,Monoterpenoids,0.124,Primary amides,0.051,Organosulfur compounds,0.961,Isothiocyanates,0.6,NA,NA,NA,NA,Isothiocyanates,0.6,Organic compounds; Organosulfur compounds; Organonitrogen compounds; Isothiocyanates; Dialkylthioethers; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities,186.131,232,3.867,703056711142726900,703045681771245600,NA,1239
1887,187.10409365888933,5.4288692,NA,NA,NA,1,C6H16N2O3,[M + Na]+,C6H16N2NaO3+,Amino acids and Peptides,0.964,Small peptides,0.971,Aminoacids,0.96,Organic acids and derivatives,0.964,Carboxylic acids and derivatives,0.936,"Amino acids, peptides, and analogues",0.871,Amino acids and derivatives,0.87,Alpha amino acids,0.655,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",187.105,325,5.425,703060093182164900,703045700561729800,NA,1887
228,187.567663673209,2.7506785,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
426,189.11188426497748,3.1115344,NA,NA,NA,1,C9H16O4,[M + H]+,C9H17O4+,Fatty acids,0.999,Fatty Acids and Conjugates,0.998,Dicarboxylic acids,0.998,Lipids and lipid-like molecules,0.967,Fatty Acyls,0.952,Fatty acids and conjugates,0.958,Medium-chain fatty acids,0.821,Medium-chain fatty acids,0.821,Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,189.111,187,3.118,703053544401102100,703045663945451600,NA,426
1774,193.12220102119733,5.2326818,NA,NA,NA,1,C12H16O2,[M + H]+,C12H17O2+,Fatty acids,0.487,Monoterpenoids,0.185,Unsaturated fatty acids,0.158,Organic oxygen compounds,0.99,Organooxygen compounds,0.982,Carbonyl compounds,0.624,NA,NA,Carbonyl compounds,0.624,Organic compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,193.122,315,5.249,703059429345449e3,703045696862353200,NA,1774
1976,194.11264227605056,5.7430735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,195.08771980840527,2.1768675,NA,NA,NA,1,C8H10N4O2,[M + H]+,C8H11N4O2+,Alkaloids,1,Pseudoalkaloids (transamidation),1,Purine alkaloids,1,Organoheterocyclic compounds,1,Imidazopyrimidines,1,Purines and purine derivatives,1,Xanthines,1,Xanthines,1,Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Lactams; Purines and purine derivatives; Xanthines; Organic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Pyrimidones; Organooxygen compounds; Organic carbonic acids and derivatives; Azoles; Ureas; Purinones; Diazines; 6-oxopurines; Imidazopyrimidines; Substituted imidazoles; N-substituted imidazoles; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,195.088,131,2.181,703047507136550900,703045648871121700,NA,45
1108,196.5651872444394,3.7938287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,198.0831140073741,2.2065904,NA,NA,NA,1,C6H13N3O3,[M + Na]+,C6H13N3NaO3+,Amino acids and Peptides,0.619,Small peptides,0.75,Aminoacids,0.576,Organic nitrogen compounds,1,Organonitrogen compounds,0.999,Amines,0.587,NA,NA,Amines,0.587,Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,198.083,132,2.193,703047548416897700,703045649198277400,NA,51
2063,198.6248667898778,6.087435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1469,200.09391214800465,4.541681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,200.1280863443168,2.09584,NA,NA,NA,1,C10H17NO3,[M + H]+,C10H18NO3+,Amino acids and Peptides,0.933,Small peptides,0.995,Dipeptides,0.807,Organic acids and derivatives,1,Carboxylic acids and derivatives,1,"Amino acids, peptides, and analogues",0.976,Amino acids and derivatives,0.975,N-acyl-alpha amino acids,0.957,"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",200.127,125,2.086,703047516015894300,703045648019677800,NA,22
1589,200.2372947232852,4.806243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1776,202.1276215686792,5.232725,NA,NA,NA,1,C10H19NOS,[M + H]+,C10H20NOS+,Fatty acids,0.763,Fatty amides,0.867,Primary amides,0.94,Organic acids and derivatives,0.621,Carboxylic acids and derivatives,0.505,NA,NA,NA,NA,Carboxylic acids and derivatives,0.505,Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Sulfinyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,202.128,315,5.249,703059430616323100,703045696933656300,NA,1776
1407,202.21625852874763,4.3176394,NA,NA,NA,1,C12H27NO,[M + H]+,C12H28NO+,Fatty acids,0.989,Spingolipids,0.5,Sphingoid bases,0.922,Organic nitrogen compounds,0.999,Organonitrogen compounds,0.999,Amines,0.949,Alkanolamines,0.85,"1,2-aminoalcohols",0.811,"Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Dialkylamines; Amines; Secondary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",202.217,257,4.291,703057165713027800,703045685726474600,NA,1407
2296,204.62452272901547,6.766664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,205.090885871861,2.456655,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1747,205.10392600023783,5.2165613,NA,NA,NA,1,C13H16S,[M + H]+,C13H17S+,Fatty acids,0.841,Fatty acyls,0.721,Oxygenated hydrocarbons,0.123,Benzenoids,0.706,Benzene and substituted derivatives,0.6,NA,NA,NA,NA,Benzene and substituted derivatives,0.6,Organic compounds; Organosulfur compounds; Benzene and substituted derivatives; Benzenoids; Sulfenyl compounds; Hydrocarbon derivatives; Chemical entities,205.104,312,5.208,703059246872245200,703045696057046700,NA,1747
482,205.1310264780098,3.2390423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,206.098774530659,1.7934895,NA,NA,NA,1,C10H17NS,[M + Na]+,C10H17NNaS+,Alkaloids,0.753,Pseudoalkaloids (transamidation),0.174,Phenylalanine-derived alkaloids,0.249,Organic nitrogen compounds,0.987,Organonitrogen compounds,0.984,NA,NA,NA,NA,Organonitrogen compounds,0.984,Organic compounds; Organosulfur compounds; Organonitrogen compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities,206.099,108,1.798,703047539218787800,703045646790746600,NA,4
1869,206.55694282098816,5.401275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1483,209.17529282292688,4.5819592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2161,209.6273438085433,6.5110025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,210.13483758219056,2.409918,NA,NA,NA,1,C9H15N5O,[M + H]+,C9H16N5O+,Alkaloids,0.797,Pseudoalkaloids (transamidation),0.152,Purine alkaloids,0.177,Organic nitrogen compounds,1,Organonitrogen compounds,1,Amines,0.987,Tertiary amines,0.905,Dialkylarylamines,0.94,Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Piperidines; Organonitrogen compounds; Aminopyrimidines and derivatives; Diazines; Amines; Primary amines; Tertiary amines; Tertiary alkylarylamines; Imidolactams; Dialkylarylamines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,210.135,144,2.393,703047705141270500,703045650796307300,NA,88
